+3.00000e+00	 +1.00000e+00
+2.99605e+00	 +1.12558e+00
+2.98423e+00	 +1.25067e+00
+2.96457e+00	 +1.37476e+00
+2.93717e+00	 +1.49738e+00
+2.90211e+00	 +1.61803e+00
+2.85955e+00	 +1.73625e+00
+2.80965e+00	 +1.85156e+00
+2.75261e+00	 +1.96351e+00
+2.68866e+00	 +2.07165e+00
+2.61803e+00	 +2.17557e+00
+2.54103e+00	 +2.27485e+00
+2.45794e+00	 +2.36909e+00
+2.36909e+00	 +2.45794e+00
+2.27485e+00	 +2.54103e+00
+2.17557e+00	 +2.61803e+00
+2.07165e+00	 +2.68866e+00
+1.96351e+00	 +2.75261e+00
+1.85156e+00	 +2.80965e+00
+1.73625e+00	 +2.85955e+00
+1.61803e+00	 +2.90211e+00
+1.49738e+00	 +2.93717e+00
+1.37476e+00	 +2.96457e+00
+1.25067e+00	 +2.98423e+00
+1.12558e+00	 +2.99605e+00
+1.00000e+00	 +3.00000e+00
+8.74419e-01	 +2.99605e+00
+7.49334e-01	 +2.98423e+00
+6.25237e-01	 +2.96457e+00
+5.02620e-01	 +2.93717e+00
+3.81966e-01	 +2.90211e+00
+2.63751e-01	 +2.85955e+00
+1.48441e-01	 +2.80965e+00
+3.64927e-02	 +2.75261e+00
-7.16536e-02	 +2.68866e+00
-1.75571e-01	 +2.61803e+00
-2.74848e-01	 +2.54103e+00
-3.69094e-01	 +2.45794e+00
-4.57937e-01	 +2.36909e+00
-5.41026e-01	 +2.27485e+00
-6.18034e-01	 +2.17557e+00
-6.88656e-01	 +2.07165e+00
-7.52613e-01	 +1.96351e+00
-8.09654e-01	 +1.85156e+00
-8.59553e-01	 +1.73625e+00
-9.02113e-01	 +1.61803e+00
-9.37166e-01	 +1.49738e+00
-9.64575e-01	 +1.37476e+00
-9.84229e-01	 +1.25067e+00
-9.96053e-01	 +1.12558e+00
-1.00000e+00	 +1.00000e+00
-9.96053e-01	 +8.74419e-01
-9.84229e-01	 +7.49334e-01
-9.64575e-01	 +6.25237e-01
-9.37166e-01	 +5.02620e-01
-9.02113e-01	 +3.81966e-01
-8.59553e-01	 +2.63751e-01
-8.09654e-01	 +1.48441e-01
-7.52613e-01	 +3.64927e-02
-6.88656e-01	 -7.16536e-02
-6.18034e-01	 -1.75571e-01
-5.41026e-01	 -2.74848e-01
-4.57937e-01	 -3.69094e-01
-3.69094e-01	 -4.57937e-01
-2.74848e-01	 -5.41026e-01
-1.75571e-01	 -6.18034e-01
-7.16536e-02	 -6.88656e-01
+3.64927e-02	 -7.52613e-01
+1.48441e-01	 -8.09654e-01
+2.63751e-01	 -8.59553e-01
+3.81966e-01	 -9.02113e-01
+5.02620e-01	 -9.37166e-01
+6.25237e-01	 -9.64575e-01
+7.49334e-01	 -9.84229e-01
+8.74419e-01	 -9.96053e-01
+1.00000e+00	 -1.00000e+00
+1.12558e+00	 -9.96053e-01
+1.25067e+00	 -9.84229e-01
+1.37476e+00	 -9.64575e-01
+1.49738e+00	 -9.37166e-01
+1.61803e+00	 -9.02113e-01
+1.73625e+00	 -8.59553e-01
+1.85156e+00	 -8.09654e-01
+1.96351e+00	 -7.52613e-01
+2.07165e+00	 -6.88656e-01
+2.17557e+00	 -6.18034e-01
+2.27485e+00	 -5.41026e-01
+2.36909e+00	 -4.57937e-01
+2.45794e+00	 -3.69094e-01
+2.54103e+00	 -2.74848e-01
+2.61803e+00	 -1.75571e-01
+2.68866e+00	 -7.16536e-02
+2.75261e+00	 +3.64927e-02
+2.80965e+00	 +1.48441e-01
+2.85955e+00	 +2.63751e-01
+2.90211e+00	 +3.81966e-01
+2.93717e+00	 +5.02620e-01
+2.96457e+00	 +6.25237e-01
+2.98423e+00	 +7.49334e-01
+2.99605e+00	 +8.74419e-01
+3.00000e+00	 +1.00000e+00
